title,venue_url,category,venue,address,city,country,open_date,close_date,booking_start_date,booking_end_date,upcoming_performances,capacity,currency,seat_pricing,scrape_datetime
BILIETAI.LT Dovanų čekis,https://www.bilietai.lt/eng/tickets/dovanu-cekiai2/bilietai-lt-gift-certificate/bilietailt-dovanu-cekis-365158/,event,Dovanų čekis,Dovanų čekis,,Lithuania,,,,,,,EUR,,2026-02-21T10:44:32.717502
FREUD FEST: PROMIS3,https://www.bilietai.lt/eng/tickets/festivaliai/freud-fest-promis3-494534/,festival,Daina,"Savanorių pr. 74, Kaunas",Kaunas,Lithuania,2026-04-30T00:00:00,2026-05-01T00:00:00,,2026-05-01T00:00:00,,,EUR,,2026-02-21T10:44:39.797426
Rokas Yan | Alkis,https://www.bilietai.lt/eng/tickets/koncertai/rokas-yan--alkis-102807/,concert,Unknown,,,Lithuania,2026-11-20T00:00:00,2026-12-18T00:00:00,,2026-12-18T00:00:00,,,EUR,,2026-02-21T10:44:47.287320
Metų muzikos apdovanojimai M.A.M.A. 2026,https://www.bilietai.lt/eng/tickets/koncertai/metu-muzikos-apdovanojimai-mama-2026-494840/,concert,Kauno Žalgirio arena,"Nemuno sala, Karaliaus Mindaugo pr. 50, Kaunas",Kaunas,Lithuania,2027-01-29T00:00:00,2027-01-29T00:00:00,,2027-01-29T00:00:00,,,EUR,,2026-02-21T10:44:53.856418
Ledo šou ''STICHIJOS 2: Pasadoblis'',https://www.bilietai.lt/eng/tickets/koncertai/ledo-sou-stichijos-2-pasadoblis-484896/,concert,Kauno Žalgirio arena,"Nemuno sala, Karaliaus Mindaugo pr. 50, Kaunas",Kaunas,Lithuania,2026-03-13T00:00:00,2026-03-13T00:00:00,,2026-03-13T00:00:00,,,EUR,,2026-02-21T10:45:01.050264
The Phantom of the Opera,https://www.bilietai.lt/eng/tickets/koncertai/the-phantom-of-the-opera-101987/,concert,Twinsbet Arena,"Ozo g. 14, Vilnius",Vilnius,Lithuania,2026-05-19T00:00:00,2026-05-24T00:00:00,,2026-05-24T00:00:00,,,EUR,,2026-02-21T10:45:07.908600
VISO FESTIVALIO BILIETAS | AIDAS 2026,https://www.bilietai.lt/eng/tickets/koncertai/viso-festivalio-bilietas--aidas-2026-492658/,concert,Dūmų fabrikas,"Dūmų g. 5, Vilnius",Vilnius,Lithuania,2026-01-09T00:00:00,2026-03-11T00:00:00,,2026-03-11T00:00:00,,,EUR,,2026-02-21T10:45:16.067281
ČIURLIONIS: MATAU MUZIKĄ. PRIVATŪS SEANSAI,https://www.bilietai.lt/eng/tickets/koncertai/ciurlionis-matau-muzika-privatus-seansai-492369/,concert,MUZIKOS SVETAINĖ,"Gedimino pr. 32-2, Vilnius",Vilnius,Lithuania,2026-01-16T00:00:00,2026-12-31T00:00:00,,2026-12-31T00:00:00,,,EUR,,2026-02-21T10:45:22.800336
Meškinų muziejus ''PLUSHY B 55'',https://www.bilietai.lt/eng/tickets/koncertai/meskinu-muziejus-plushy-b-55-493875/,concert,Raganiukės teatras,"S. Stanevičiaus g. 24, Vilnius",Vilnius,Lithuania,2026-02-21T00:00:00,2026-02-21T00:00:00,,2026-02-21T00:00:00,,,EUR,,2026-02-21T10:45:29.545160
LVSO VAIKAMS | ''LAUKINĖ SIMFONIJA'',https://www.bilietai.lt/eng/tickets/koncertai/lvso-vaikams--laukine-simfonija-488785/,concert,LVSO koncertų salė,"Vilniaus g. 6, Vilnius",Vilnius,Lithuania,2026-02-21T00:00:00,2026-02-21T00:00:00,,2026-02-21T00:00:00,,,EUR,,2026-02-21T10:45:36.454483
Yusuke Ishii koncertas ''M. K. Čiurlionis: nuo Vilniaus iki Tokijo'',https://www.bilietai.lt/eng/tickets/koncertai/yusuke-ishii-koncertas-m-k-ciurlionis-nuo-vilniaus-iki-tokijo-487410/,concert,"Lietuvos teatro, muzikos ir kino muziejus","Vilniaus g. 41, Vilnius",Vilnius,Lithuania,2026-02-21T00:00:00,2026-02-21T00:00:00,,2026-02-21T00:00:00,,,EUR,,2026-02-21T10:45:43.466154
Ekskursijos su personažu ''Kretingos dvaras iki ateinant šviesai'',https://www.bilietai.lt/eng/tickets/koncertai/ekskursijos-su-personazu-kretingos-dvaras-iki-ateinant-sviesai-491929/,concert,Kretingos muziejus,"Vilniaus g. 20, Kretinga",Kretinga,Lithuania,2026-02-21T00:00:00,2026-02-21T00:00:00,,2026-02-21T00:00:00,,,EUR,,2026-02-21T10:45:50.968656
Legendinės kino filmų melodijos | pianistas virtuozas Vytautas Straižys,https://www.bilietai.lt/eng/tickets/koncertai/legendines-kino-filmu-melodijos--pianistas-virtuozas-vytautas-straizys-492648/,concert,Šv. Kotrynos bažnyčia,"Vilniaus g. 30, Vilnius",Vilnius,Lithuania,2026-02-21T00:00:00,2026-02-21T00:00:00,,2026-02-21T00:00:00,,,EUR,,2026-02-21T10:45:57.736409
ELECTRO DELUXE ir KAUNO BIGBENDAS,https://www.bilietai.lt/eng/tickets/koncertai/electro-deluxe-ir-kauno-bigbendas-489073/,concert,Twinsbet Arena,"Ozo g. 14, Vilnius",Vilnius,Lithuania,2026-02-21T00:00:00,2026-02-21T00:00:00,,2026-02-21T00:00:00,,,EUR,,2026-02-21T10:46:04.913465
RONDO - Gyvo Garso Koncertas | Kauno OAZĖ | 02 21,https://www.bilietai.lt/eng/tickets/koncertai/rondo-gyvo-garso-koncertas--kauno-oaze--02-21-492912/,concert,Kauno OAZĖ,"Baltų pr. 16, Kaunas",Kaunas,Lithuania,2026-02-21T00:00:00,2026-02-21T00:00:00,,2026-02-21T00:00:00,,,EUR,,2026-02-21T10:46:11.546337
Vilniaus tango teatras - Entre Las Sombras,https://www.bilietai.lt/eng/tickets/koncertai/vilniaus-tango-teatras-entre-las-sombras-492240/,theatre,"La Casa Del Tango, Gedimino pr. 64","Gedimino pr. 64, Vilnius",Vilnius,Lithuania,2026-02-21T00:00:00,2026-02-21T00:00:00,,2026-02-21T00:00:00,,,EUR,,2026-02-21T10:46:18.365025
Už grotų: Micro One - Lukiškių kalėjimas 2.0,https://www.bilietai.lt/eng/tickets/koncertai/uz-grotu-micro-one-lukiskiu-kalejimas-20-488673/,concert,Lukiškių kalėjimas 2.0,"Lukiškių skg. 6, Vilnius",Vilnius,Lithuania,2026-02-21T00:00:00,2026-02-21T00:00:00,,2026-02-21T00:00:00,,,EUR,,2026-02-21T10:46:25.881373
Bavarija | Druskininkai | Naktinis klubas ''Aqua'',https://www.bilietai.lt/eng/tickets/koncertai/bavarija--druskininkai--naktinis-klubas-aqua-492828/,concert,Naktinis klubas Aqua,"Vilniaus al. 13, Druskininkai",Druskininkai,Lithuania,2026-02-21T00:00:00,2026-02-21T00:00:00,,2026-02-21T00:00:00,,,EUR,,2026-02-21T10:46:35.597155
JUODAS VILNIUS 2026,https://www.bilietai.lt/eng/tickets/koncertai/juodas-vilnius-2026-488567/,concert,Kalnų parkas,"Kalnų parkas, T. Kosciuškos g., Vilnius, Vilnius",Vilnius,Lithuania,2026-06-13T00:00:00,2026-06-13T00:00:00,,2026-06-13T00:00:00,,,EUR,,2026-02-21T10:46:42.207595
