title,venue_url,category,venue,address,city,country,open_date,close_date,booking_start_date,booking_end_date,upcoming_performances,capacity,currency,seat_pricing,scrape_datetime
BILIETAI.LT Dovanų čekis,https://www.bilietai.lt/eng/tickets/dovanu-cekiai2/bilietai-lt-gift-certificate/bilietailt-dovanu-cekis-365158/,event,Dovanų čekis,Dovanų čekis,,Lithuania,,,,,,,EUR,,2026-02-21T17:43:36.043657
Volfas Engelman ICE non-alco: DEEP DISH,https://www.bilietai.lt/eng/tickets/koncertai/volfas-engelman-ice-non-alco-deep-dish-493557/,concert,Volfas Engelman galerija,"Kaunakiemio g. 2, Kaunas",Kaunas,Lithuania,2026-06-13T00:00:00,2026-06-14T00:00:00,,2026-06-14T00:00:00,,,EUR,,2026-02-21T17:43:44.685020
Rokas Yan | Alkis,https://www.bilietai.lt/eng/tickets/koncertai/rokas-yan--alkis-102807/,concert,Unknown,,,Lithuania,2026-11-20T00:00:00,2026-12-18T00:00:00,,2026-12-18T00:00:00,,,EUR,,2026-02-21T17:43:52.522190
Metų muzikos apdovanojimai M.A.M.A. 2026,https://www.bilietai.lt/eng/tickets/koncertai/metu-muzikos-apdovanojimai-mama-2026-494840/,concert,Kauno Žalgirio arena,"Nemuno sala, Karaliaus Mindaugo pr. 50, Kaunas",Kaunas,Lithuania,2027-01-29T00:00:00,2027-01-29T00:00:00,,2027-01-29T00:00:00,,,EUR,,2026-02-21T17:43:59.969766
Ledo šou ''STICHIJOS 2: Pasadoblis'',https://www.bilietai.lt/eng/tickets/koncertai/ledo-sou-stichijos-2-pasadoblis-484896/,concert,Kauno Žalgirio arena,"Nemuno sala, Karaliaus Mindaugo pr. 50, Kaunas",Kaunas,Lithuania,2026-03-13T00:00:00,2026-03-13T00:00:00,,2026-03-13T00:00:00,,,EUR,,2026-02-21T17:44:06.910883
The Phantom of the Opera,https://www.bilietai.lt/eng/tickets/koncertai/the-phantom-of-the-opera-101987/,concert,Twinsbet Arena,"Ozo g. 14, Vilnius",Vilnius,Lithuania,2026-05-19T00:00:00,2026-05-24T00:00:00,,2026-05-24T00:00:00,,,EUR,,2026-02-21T17:44:13.779019
VISO FESTIVALIO BILIETAS | AIDAS 2026,https://www.bilietai.lt/eng/tickets/koncertai/viso-festivalio-bilietas--aidas-2026-492658/,concert,Dūmų fabrikas,"Dūmų g. 5, Vilnius",Vilnius,Lithuania,2026-01-09T00:00:00,2026-03-11T00:00:00,,2026-03-11T00:00:00,,,EUR,,2026-02-21T17:44:20.992425
ČIURLIONIS: MATAU MUZIKĄ. PRIVATŪS SEANSAI,https://www.bilietai.lt/eng/tickets/koncertai/ciurlionis-matau-muzika-privatus-seansai-492369/,concert,MUZIKOS SVETAINĖ,"Gedimino pr. 32-2, Vilnius",Vilnius,Lithuania,2026-01-16T00:00:00,2026-12-31T00:00:00,,2026-12-31T00:00:00,,,EUR,,2026-02-21T17:44:28.321733
ELECTRO DELUXE ir KAUNO BIGBENDAS,https://www.bilietai.lt/eng/tickets/koncertai/electro-deluxe-ir-kauno-bigbendas-489073/,concert,Twinsbet Arena,"Ozo g. 14, Vilnius",Vilnius,Lithuania,2026-02-21T00:00:00,2026-02-21T00:00:00,,2026-02-21T00:00:00,,,EUR,,2026-02-21T17:44:35.771793
RONDO - Gyvo Garso Koncertas | Kauno OAZĖ | 02 21,https://www.bilietai.lt/eng/tickets/koncertai/rondo-gyvo-garso-koncertas--kauno-oaze--02-21-492912/,concert,Kauno OAZĖ,"Baltų pr. 16, Kaunas",Kaunas,Lithuania,2026-02-21T00:00:00,2026-02-21T00:00:00,,2026-02-21T00:00:00,,,EUR,,2026-02-21T17:44:42.574072
